id,question_number,english_target,question_text,option_a_romaji,option_a_japanese,option_b_romaji,option_b_japanese,option_c_romaji,option_c_japanese,correct_letter,correct_romaji,correct_japanese,question_voice_text,answer_voice_text,question_page,answer_page,question_start,answer_start
Q1,1,Cat,What is cat in Japanese?,Inu,いぬ,Neko,ねこ,Sakana,さかな,B,Neko,ねこ,What is cat in Japanese?,The answer is B. Neko. ねこ.,1,2,0,6
Q2,2,Dog,What is dog in Japanese?,Inu,いぬ,Sakana,さかな,Hana,はな,A,Inu,いぬ,What is dog in Japanese?,The answer is A. Inu. いぬ.,3,4,9,15
Q3,3,Apple,What is apple in Japanese?,Hon,ほん,Mizu,みず,Ringo,りんご,C,Ringo,りんご,What is apple in Japanese?,The answer is C. Ringo. りんご.,5,6,18,24
Q4,4,Fish,What is fish in Japanese?,Hana,はな,Sakana,さかな,Neko,ねこ,B,Sakana,さかな,What is fish in Japanese?,The answer is B. Sakana. さかな.,7,8,27,33
Q5,5,Book,What is book in Japanese?,Kasa,かさ,Yama,やま,Hon,ほん,C,Hon,ほん,What is book in Japanese?,The answer is C. Hon. ほん.,9,10,36,42
Q6,6,Water,What is water in Japanese?,Mizu,みず,Kuruma,くるま,Inu,いぬ,A,Mizu,みず,What is water in Japanese?,The answer is A. Mizu. みず.,11,12,45,51
Q7,7,Flower,What is flower in Japanese?,Ringo,りんご,Hana,はな,Sakana,さかな,B,Hana,はな,What is flower in Japanese?,The answer is B. Hana. はな.,13,14,54,60
Q8,8,Mountain,What is mountain in Japanese?,Yama,やま,Hon,ほん,Kasa,かさ,A,Yama,やま,What is mountain in Japanese?,The answer is A. Yama. やま.,15,16,63,69
Q9,9,Umbrella,What is umbrella in Japanese?,Kuruma,くるま,Neko,ねこ,Kasa,かさ,C,Kasa,かさ,What is umbrella in Japanese?,The answer is C. Kasa. かさ.,17,18,72,78
Q10,10,Car,What is car in Japanese?,Kuruma,くるま,Mizu,みず,Yama,やま,A,Kuruma,くるま,What is car in Japanese?,The answer is A. Kuruma. くるま.,19,20,81,87
